Performance Model Method N
0.6985294 1 1 1
0.7333333 1 1 2
0.7482993 1 1 3
0.7463768 1 1 4 
0.7671233 1 1 5
0.7368421 1 1 6
0.7500000 1 1 7 
0.7571429 1 1 8
0.7375887 1 1 9
0.7050360 1 1 10
0.7322835 1 1 11
0.7407407 1 1 12
0.7058824 1 1 13
0.7111111 1 1 14
0.7677419 1 1 15
0.7571429 1 1 16
0.7500000 1 1 17
0.6377953 1 1 18
0.7515528 1 1 19
0.8013245 1 1 20
0.6838235 1 2 1
0.7600000 1 2 2
0.7074830 1 2 3
0.7173913 1 2 4
0.7191781 1 2 5
0.6907895 1 2 6
0.7500000 1 2 7
0.7285714 1 2 8
0.7446809 1 2 9
0.6906475 1 2 10
0.7559055 1 2 11
0.7111111 1 2 12
0.6691176 1 2 13
0.7037037 1 2 14
0.7096774 1 2 15
0.7285714 1 2 16
0.7573529 1 2 17
0.6220472 1 2 18
0.7267081 1 2 19
0.8145695 1 2 20
0.8970588 1 3 1
0.8600000 1 3 2
0.8707483 1 3 3
0.9275362 1 3 4
0.9109589 1 3 5
0.9013158 1 3 6
0.8918919 1 3 7
0.9142857 1 3 8
0.9290780 1 3 9
0.8992806 1 3 10
0.8661417 1 3 11
0.9111111 1 3 12
0.8750000 1 3 13
0.8962963 1 3 14
0.8645161 1 3 15
0.9357143 1 3 16
0.8970588 1 3 17
0.8503937 1 3 18
0.8757764 1 3 19
0.9205298 1 3 20
0.7279412 2 1 1
0.7600000 2 1 2
0.7074830 2 1 3
0.7246377 2 1 4
0.7328767 2 1 5
0.6644737 2 1 6
0.7297297 2 1 7
0.6785714 2 1 8
0.7375887 2 1 9
0.7482014 2 1 10
0.7244094 2 1 11
0.7629630 2 1 12
0.7132353 2 1 13
0.7037037 2 1 14
0.7483871 2 1 15
0.7071429 2 1 16
0.7352941 2 1 17
0.6535433 2 1 18
0.7267081 2 1 19
0.7417219 2 1 20
0.6838235 2 2 1
0.7466667 2 2 2
0.7278912 2 2 3
0.6884058 2 2 4
0.7534247 2 2 5
0.6842105 2 2 6
0.7364865 2 2 7
0.7214286 2 2 8
0.7517730 2 2 9
0.7194245 2 2 10
0.7086614 2 2 11
0.7185185 2 2 12
0.7352941 2 2 13
0.7481481 2 2 14
0.7225806 2 2 15
0.6785714 2 2 16
0.7205882 2 2 17
0.6771654 2 2 18
0.7080745 2 2 19
0.7615894 2 2 20
0.7867647 2 3 1
0.7533333 2 3 2
0.7959184 2 3 3
0.7971014 2 3 4
0.7945205 2 3 5
0.7697368 2 3 6
0.7905405 2 3 7
0.7928571 2 3 8
0.8226950 2 3 9
0.8201439 2 3 10
0.7401575 2 3 11
0.7851852 2 3 12
0.8014706 2 3 13
0.7777778 2 3 14
0.7806452 2 3 15
0.7642857 2 3 16
0.7794118 2 3 17
0.7401575 2 3 18
0.7577640 2 3 19
0.8278146 2 3 20
